psc,obec,okres,distributor_elektrina,distributor_plyn,overit
75654,Zubří,Vsetín,ČEZ Distribuce,GasNet,ne
75655,Dolní Bečva,Vsetín,ČEZ Distribuce,GasNet,ne
75656,Prostřední Bečva,Vsetín,ČEZ Distribuce,GasNet,ne
75657,Horní Bečva,Vsetín,ČEZ Distribuce,GasNet,ne
75661,Rožnov pod Radhoštěm 1,Vsetín,ČEZ Distribuce,GasNet,ne
75662,Hutisko-Solanec,Vsetín,ČEZ Distribuce,GasNet,ne
75663,Krhová,Vsetín,ČEZ Distribuce,GasNet,ne
75701,Valašské Meziříčí 1,Vsetín,ČEZ Distribuce,GasNet,ne
76001,Zlín 1,Zlín,EG.D,GasNet,ne
76005,Zlín 5,Zlín,EG.D,GasNet,ne
76301,Mysločovice,Zlín,EG.D,GasNet,ne
76302,Zlín 4,Zlín,EG.D,GasNet,ne
76307,Velký Ořechov,Zlín,EG.D,GasNet,ne
76310,Hvozdná,Zlín,EG.D,GasNet,ne
76311,Želechovice nad Dřevnicí,Zlín,EG.D,GasNet,ne
76312,Vizovice,Zlín,EG.D,GasNet,ne
76313,Jasenná u Vizovic,Zlín,EG.D,GasNet,ne
76314,Zlín 12,Zlín,EG.D,GasNet,ne
76315,Slušovice,Zlín,EG.D,GasNet,ne
76316,Fryšták,Zlín,EG.D,GasNet,ne
76317,Lukov u Zlína,Zlín,EG.D,GasNet,ne
76318,Trnava u Zlína,Zlín,EG.D,GasNet,ne
76319,Kašava,Zlín,EG.D,GasNet,ne
76321,Slavičín,Zlín,EG.D,GasNet,ne
76323,Dolní Lhota u Luhačovic,Zlín,EG.D,GasNet,ne
76324,Vlachovice,Zlín,EG.D,GasNet,ne
76325,Újezd u Valašských Klobouk,Zlín,EG.D,GasNet,ne
76326,Luhačovice,Zlín,EG.D,GasNet,ne
76331,Brumov-Bylnice,Zlín,EG.D,GasNet,ne
76332,Nedašov,Zlín,EG.D,GasNet,ne
76333,Štítná nad Vláří,Zlín,EG.D,GasNet,ne
76334,Brumov-Bylnice 3,Zlín,EG.D,GasNet,ne
76341,Biskupice u Luhačovic,Zlín,EG.D,GasNet,ne
76345,Březůvky,Zlín,EG.D,GasNet,ne
76351,Bohuslavice u Zlína,Zlín,EG.D,GasNet,ne
76361,Napajedla,Zlín,EG.D,GasNet,ne
76362,Tlumačov,Zlín,EG.D,GasNet,ne
76363,Halenkovice,Zlín,EG.D,GasNet,ne
76364,Spytihněv,Zlín,EG.D,GasNet,ne
76502,Otrokovice 2,Zlín,EG.D,GasNet,ne
76601,Valašské Klobouky,Zlín,EG.D,GasNet,ne
76701,Kroměříž 1,Kroměříž,EG.D,GasNet,ne
76801,Výdejní místo Jarohněvice,Kroměříž,EG.D,GasNet,ne
76802,Zdounky,Kroměříž,EG.D,GasNet,ne
76803,Roštín,Kroměříž,EG.D,GasNet,ne
76804,Střílky,Kroměříž,EG.D,GasNet,ne
76805,Koryčany,Kroměříž,EG.D,GasNet,ne
76811,Chropyně,Kroměříž,EG.D,GasNet,ne
76812,Rataje u Kroměříže,Kroměříž,EG.D,GasNet,ne
76813,Litenčice,Kroměříž,EG.D,GasNet,ne
76821,Kvasice,Kroměříž;Zlín,EG.D,GasNet,ne
76823,Břest,Kroměříž,EG.D,GasNet,ne
76824,Hulín,Kroměříž,EG.D,GasNet,ne
76831,Zlobice,Kroměříž,EG.D,GasNet,ne
76832,Zborovice,Kroměříž,EG.D,GasNet,ne
76833,Morkovice-Slížany,Kroměříž,EG.D,GasNet,ne
76834,Pačlavice,Kroměříž,EG.D,GasNet,ne
76841,Bystřice pod Hostýnem 7,Kroměříž;Zlín,EG.D,GasNet,ne
76842,Prusinovice,Kroměříž,EG.D,GasNet,ne
76843,Kostelec u Holešova,Kroměříž,EG.D,GasNet,ne
76852,Míškovice u Holešova,Kroměříž,EG.D,GasNet,ne
76861,Bystřice pod Hostýnem 1,Kroměříž;Zlín,EG.D,GasNet,ne
76871,Rajnochovice,Kroměříž,EG.D,GasNet,ne
76872,Chvalčov,Kroměříž,EG.D,GasNet,ne
76875,Loukov,Kroměříž,EG.D,GasNet,ne
76901,Holešov,Kroměříž,EG.D,GasNet,ne
77900,Olomouc 9,Olomouc,ČEZ Distribuce,GasNet,ne
78301,Olomouc 18,Olomouc,ČEZ Distribuce,GasNet,ne
78305,Horní Loděnice,Olomouc,ČEZ Distribuce,GasNet,ne
78306,Domašov nad Bystřicí,Olomouc,ČEZ Distribuce,GasNet,ne
78307,Město Libavá,Olomouc,ČEZ Distribuce,GasNet,ne
78313,Štěpánov u Olomouce,Olomouc,ČEZ Distribuce,GasNet,ne
78314,Bohuňovice,Olomouc,ČEZ Distribuce,GasNet,ne
78316,Dolany u Olomouce,Olomouc,ČEZ Distribuce,GasNet,ne
78321,Chudobín,Olomouc,ČEZ Distribuce,GasNet,ne
78322,Cholina,Olomouc,ČEZ Distribuce,GasNet,ne
78324,Slavětín u Litovle,Olomouc,ČEZ Distribuce,GasNet,ne
78325,Bouzov,Olomouc,ČEZ Distribuce,GasNet,ne
78332,Náklo,Olomouc,ČEZ Distribuce,GasNet,ne
78333,Příkazy,Olomouc,ČEZ Distribuce,GasNet,ne
78335,Horka nad Moravou,Olomouc,ČEZ Distribuce,GasNet,ne
78336,Křelov-Břuchotín,Olomouc,ČEZ Distribuce,GasNet,ne
78342,Slatinice,Olomouc;Prostějov,ČEZ Distribuce,GasNet,ano
78344,Náměšť na Hané,Olomouc,ČEZ Distribuce,GasNet,ne
78345,Senice na Hané,Olomouc,ČEZ Distribuce,GasNet,ne
78346,Těšetice,Olomouc,ČEZ Distribuce,GasNet,ne
